,gene,mean_intensity.24_mean,mean_intensity.24_std,mean_intensity.24_count,area.24_mean,area.24_std,area.24_count,mean_intensity.48_mean,mean_intensity.48_std,mean_intensity.48_count,area.48_mean,area.48_std,area.48_count,corrected_mean_intensity.24_mean,corrected_mean_intensity.24_std,corrected_mean_intensity.24_count,corrected_area.24_mean,corrected_area.24_std,corrected_area.24_count,corrected_mean_intensity.48_mean,corrected_mean_intensity.48_std,corrected_mean_intensity.48_count,corrected_area.48_mean,corrected_area.48_std,corrected_area.48_count
10,ScCCM16_WT,0.0016849671034911363,6.662175577846631e-05,204.0,398.3872549019608,82.13806731821813,204.0,0.0016923219149516848,0.0001455191546665505,204.0,538.1274509803922,98.45938089426188,204.0,0.0016923478337674603,7.528295208726156e-05,194.0,383.2202196492737,46.98683009779111,190.0,0.0016844917547748335,0.00010805035541700263,199.0,509.86927524542745,32.220904524345336,189.0
11,ScCCM16_WT_select,0.0017699880740485203,1.182417260289863e-05,4.0,337.25,17.423642940938997,4.0,0.001587078940132655,2.2017292434852138e-05,4.0,424.25,24.904818810824544,4.0,0.0017059877920603754,4.3499765684689195e-06,3.0,365.41547308223795,5.64104656830749,3.0,0.0015333052232870306,2.7904461203448613e-05,4.0,498.93536864238524,29.082692784008533,4.0
12,ScCCM23_ZWF1,0.0012555031331102531,0.000297597293998545,4.0,110.75,75.70281808933315,4.0,0.001570023491856037,0.00015702320447945757,4.0,175.25,92.12446291114357,4.0,0.001478613519098748,0.00032580996426726893,4.0,142.50210003116652,99.34644136366414,4.0,0.001885751018674701,0.00016646134655149116,4.0,226.85091004727258,122.39190398639603,4.0
13,ScCCM28_ARO2,0.0017394856176463172,6.670901085253354e-05,4.0,206.5,13.478377746103819,4.0,0.0022777649024147808,2.4534986853494097e-05,4.0,288.0,13.441230102437295,4.0,0.0018370123731715523,1.3394159802528443e-05,3.0,226.12282719308985,7.657722946396342,4.0,0.0024587326404493753,4.3594225242727894e-05,4.0,331.9388958659138,10.264799011241951,4.0
14,ScCCM72_VPS20,0.0009483969223995165,9.456654895653407e-06,4.0,165.25,24.567933029323683,4.0,0.0008216249035391471,3.3404997685615507e-06,4.0,240.75,20.902551678363736,4.0,0.0009630356439471879,1.7522670208814335e-05,4.0,174.2110295589735,17.27325709010144,4.0,0.0009319970250414366,1.2203626700892739e-05,4.0,269.44336824851507,12.147609257615525,4.0
15,ScCCM73_PDA1,0.002001737240258313,2.9871826517051437e-05,4.0,339.0,13.291601358251256,4.0,0.0018389884029876076,2.7076073201268807e-05,4.0,414.25,19.585283590832518,4.0,0.0020216911021204522,3.817327435361905e-05,4.0,351.93965076000825,17.07349920478102,4.0,0.001990397267689183,2.709467527499209e-05,4.0,466.54409066153397,15.422571669922883,4.0
16,ScCCM74_LPD1,0.001962436143436209,2.3740302954866786e-05,4.0,357.0,8.445906306213283,4.0,0.0017198314061884815,2.1701642240377156e-05,4.0,427.0,8.831760866327848,4.0,0.0019325627779016058,4.065487752416162e-06,3.0,368.10543525817104,15.458320658963093,4.0,0.0019010841596147391,3.257859450943643e-05,4.0,474.1228326864163,6.8348456224752425,3.0
17,ScCCM75_AIM22,0.0020383553182329885,1.6046816380652992e-05,4.0,315.75,13.549292724468444,4.0,0.0017543061131984113,2.470935777425957e-05,4.0,397.25,14.338177476002071,4.0,0.001971097582508921,2.8307441424918298e-06,3.0,330.21813055113404,5.294866102383443,4.0,0.0018533380756783752,2.767438519824283e-06,3.0,428.9670271231091,3.687057767164922,4.0
18,ScCCM77_LYS14,0.0022001320690283274,1.3763892664278029e-05,4.0,311.0,16.713268182295558,4.0,0.0020665334781993106,1.6799798165725804e-05,4.0,400.75,17.500000000000007,4.0,0.0020363254897378946,1.2259620515462883e-05,4.0,351.82082226523784,2.833962614713462,3.0,0.0020469246574115712,1.076242284078474e-05,4.0,462.0188842572304,11.11796673326523,4.0
19,ScCCM78_MET14,0.0019663088090368956,1.8285723652571675e-05,4.0,388.25,23.070543990118647,4.0,0.0025179296516627423,2.361728090790789e-05,4.0,489.75,18.625699092025148,4.0,0.00190752351071136,8.265457183086302e-06,4.0,392.12469371008507,3.907778054386326,3.0,0.0024203587938347875,6.7909319581333956e-06,3.0,536.1915294148351,11.298450998221778,4.0
20,VPS20,0.0010237633958171124,2.00791525668798e-05,4.0,204.5,18.484227510682363,4.0,0.00042617964460245545,2.6852723619695206e-06,4.0,276.0,18.85028735413159,4.0,0.0011889753922294088,1.86178100004816e-05,3.0,268.63162004963664,11.848176234685852,3.0,0.0005196616854167,1.5119446181357474e-05,4.0,357.5849929304058,12.590303792385019,3.0
21,YIL059C,0.0017485874034605937,1.1656448765773894e-05,4.0,337.25,14.24488212189439,4.0,0.0016088703415120993,9.042126511725342e-06,4.0,417.75,11.557825631723865,4.0,0.0017020187186975995,8.23226359454291e-06,4.0,381.87497918747823,9.617919540063069,4.0,0.0017474504598518255,1.4827759613090501e-05,4.0,501.46953174296243,10.842071421445727,4.0
