,gene,plate,row,column,area.48,mean_intensity.48,corrected_area.48,corrected_mean_intensity.48
52,Sc_CCM 10,0,2,4,43.0,0.0004748078742062058,44.73465593066873,0.0004863272776675962
53,Filler,0,2,5,69.0,0.000956799544651023,69.84342258440046,0.0009612878903600551
54,0.0,0,2,6,,,,
55,Filler,0,2,7,79.0,0.00100535864263971,79.96565774155995,0.001010074779028943
56,Sc_CCM 08,0,2,8,24.0,0.0006571326457390572,24.29336437718277,0.0006602152543243734
57,Filler,0,2,9,76.0,0.0009953112059321238,76.9289871944121,0.0009999802098057894
58,Sc_CCM 21,0,2,10,54.0,0.0013994385393665874,54.66006984866123,0.0014060033041580582
59,Filler,0,2,11,76.0,0.0010152460146395572,76.9289871944121,0.0010200085326809735
60,Sc_CCM 14,0,2,12,94.0,0.0010571171057001398,95.14901047729919,0.0010620760409879324
61,Filler,0,2,13,72.0,0.001009221972005871,72.8800931315483,0.001013956231269305
62,Sc_CCM 19,0,2,14,65.0,0.001152172604710374,65.79452852153666,0.001157577445249154
63,Filler,0,2,15,69.0,0.0009844687215769337,69.84342258440046,0.0009890868633673103
64,Sc_CCM 31,0,2,16,46.0,0.001119064850177437,46.56228172293364,0.001124314382272746
65,Filler,0,2,17,73.0,0.0009671925255446024,73.89231664726425,0.0009717296247166337
66,Sc_CCM 10,0,2,18,46.0,0.00048091277928708187,46.56228172293364,0.0004831687406547466
67,Filler,0,2,19,83.0,0.0009904138800645012,84.01455180442375,0.0009950599105874095
68,0.0,0,2,20,,,,
69,Filler,0,2,21,73.0,0.001053966228625758,73.89231664726425,0.0010589103831523392
70,Sc_CCM 00,0,2,22,125.0,0.00042440704972086346,126.52793946449358,0.0004263979427675281
71,Filler,0,2,23,,,,
72,Filler,0,3,0,79.0,0.0010659032285974088,59.76844432163581,0.0009551834916166022
73,Filler,0,3,1,82.0,0.001010578440274547,72.44204242962007,0.0009992119505613836
74,Filler,0,3,2,83.0,0.0009803315442960291,80.74125757827737,0.0009921899168337837
75,Filler,0,3,3,73.0,0.0009520425526574127,70.15584415584415,0.0009590597849157646
76,Filler,0,3,4,75.0,0.0009471750413304787,74.08008658008657,0.0009727422321649932
77,Filler,0,3,5,75.0,0.0009759045368748585,72.07792207792208,0.0009830976489664505
78,Filler,0,3,6,77.0,0.0009932164483403604,74.0,0.001000537161559917
79,Filler,0,3,7,76.0,0.00099833619973591,73.03896103896103,0.0010056946491727684
80,Filler,0,3,8,77.0,0.000998576103231548,74.0,0.0010059363209281799
81,Filler,0,3,9,68.0,0.0009896307466022933,65.35064935064935,0.0009969250306440418
82,Filler,0,3,10,71.0,0.001002814770766677,68.23376623376623,0.0010102062304644956
83,Filler,0,3,11,74.0,0.0010106485024040054,71.11688311688312,0.0010180977022881165
84,Filler,0,3,12,78.0,0.0010201455901565843,74.96103896103897,0.0010276647903472485
85,Filler,0,3,13,76.0,0.0010208909506751146,73.03896103896103,0.0010284156447041165
86,Filler,0,3,14,78.0,0.0010238414934292546,74.96103896103897,0.0010313879350615923
87,Filler,0,3,15,73.0,0.001000352306143168,70.15584415584415,0.0010077256157213909
88,Filler,0,3,16,73.0,0.0009910670206173485,70.15584415584415,0.0009983718910224083
89,Filler,0,3,17,72.0,0.0009602539015580083,69.1948051948052,0.0009673316573110601
90,Filler,0,3,18,79.0,0.0009582256517547718,75.92207792207792,0.0009652884578609748
91,Filler,0,3,19,81.0,0.000969773983392701,77.84415584415585,0.000976921908935082
92,Filler,0,3,20,87.0,0.0010002745831254934,83.6103896103896,0.0010076473198296725
93,Filler,0,3,21,82.0,0.0010148043275021292,78.8051948051948,0.0010222841587796136
94,Filler,0,3,22,62.0,0.000991332656860933,59.58441558441558,0.0009986394851944618
95,Filler,0,3,23,74.0,0.001070094801257319,71.11688311688312,0.0010779821627391324
96,Sc_CCM 14,0,4,0,92.0,0.0010530995372992772,74.43735224586288,0.000955052700759025
97,Filler,0,4,1,76.0,0.0009722592835647345,71.80400276052448,0.0009728784292864815
98,Sc_CCM 08,0,4,2,25.0,0.0006409745708146986,26.00852088992368,0.000656525375868322
99,Filler,0,4,3,72.0,0.000942373579706283,71.11688311688312,0.0009678111642058818
