,gene,plate_mean,plate_std,plate_count,mean_intensity.24_mean,mean_intensity.24_std,mean_intensity.24_count,area.24_mean,area.24_std,area.24_count,mean_intensity.30_mean,mean_intensity.30_std,mean_intensity.30_count,area.30_mean,area.30_std,area.30_count,mean_intensity.48_mean,mean_intensity.48_std,mean_intensity.48_count,area.48_mean,area.48_std,area.48_count,mean_intensity.72_mean,mean_intensity.72_std,mean_intensity.72_count,area.72_mean,area.72_std,area.72_count,corrected_mean_intensity.24_mean,corrected_mean_intensity.24_std,corrected_mean_intensity.24_count,corrected_area.24_mean,corrected_area.24_std,corrected_area.24_count,corrected_mean_intensity.30_mean,corrected_mean_intensity.30_std,corrected_mean_intensity.30_count,corrected_area.30_mean,corrected_area.30_std,corrected_area.30_count,corrected_mean_intensity.48_mean,corrected_mean_intensity.48_std,corrected_mean_intensity.48_count,corrected_area.48_mean,corrected_area.48_std,corrected_area.48_count,corrected_mean_intensity.72_mean,corrected_mean_intensity.72_std,corrected_mean_intensity.72_count,corrected_area.72_mean,corrected_area.72_std,corrected_area.72_count
3532,SNT309,10.0,0.0,4,0.0017572774639971187,4.2872461050036655e-05,4.0,223.5,23.614967005411355,4.0,0.0015829483177506125,3.576856718946026e-05,4.0,135.5,14.27118308573843,4.0,0.0014940906341119377,3.354121625373658e-05,4.0,101.0,10.099504938362077,4.0,0.001482727984616581,3.3073134230717416e-05,4.0,113.25,13.524668819112234,4.0,0.0018204111107229552,3.874622850897758e-05,4.0,207.9968738651843,18.82294445397613,4.0,0.0016849681433234454,1.4379844531465132e-05,3.0,161.73107587825032,14.895993189609198,4.0,0.0015822911559875404,2.675805398457515e-05,4.0,159.31798194591244,12.824733919850908,4.0,0.0014886945637232925,3.0544459891908204e-05,4.0,173.6404471936706,16.42705952743554,4.0
3533,SNU114,2.0,0.0,4,0.0019872825876884877,0.00021137270362345988,4.0,138.25,21.838421798899912,4.0,0.0019987883497896374,0.00017615036842431203,4.0,152.0,20.47763007121023,4.0,0.0021147934438497376,0.00024333213396977627,4.0,209.25,48.20356141752737,4.0,0.0021256477082187562,0.0002918081657098705,4.0,251.25,61.521676396751964,4.0,0.001705925017620315,0.00013022358247641717,4.0,141.14335741286382,18.716151246638393,4.0,0.0016884225286545062,8.331901302943393e-05,4.0,138.6803007127795,6.688671616047787,3.0,0.0018367605260317253,0.0001697051280403319,4.0,141.4625414969128,19.712962436990786,4.0,0.001826260503316449,0.00023267780226499395,4.0,161.9922294047895,22.94208886472335,4.0
3534,SNU13,7.0,0.0,4,0.0020429346395593063,0.00020569574348957876,4.0,271.0,22.13594362117865,4.0,0.00198388256965655,0.0001947240005583605,4.0,246.25,18.732769861039415,4.0,0.0016997545648707313,8.948623376831966e-05,4.0,257.5,44.31327867204893,4.0,0.0015234914428557123,8.167940510831782e-05,4.0,283.75,48.279567797016014,4.0,0.0017971481647053398,3.528278718014126e-05,3.0,227.5806832476921,9.311787716608434,4.0,0.001645258442570375,6.42442990705266e-05,4.0,176.4880129688331,5.9101092843874055,4.0,0.0015564867071216617,4.039711721812513e-05,4.0,174.09317296079243,2.1533105407414097,3.0,0.0014550785451255038,4.7508338933616334e-05,4.0,188.68119051066304,7.412006704988572,4.0
3535,SNU23,9.0,0.0,4,0.001736647127076025,0.0001839566707962424,4.0,191.0,19.304576314093683,4.0,0.0016763609722578374,0.00016217454370947077,4.0,140.5,12.999999999999998,4.0,0.0015760485296656061,0.00017661719526086933,4.0,123.75,14.54590434910574,4.0,0.0013439591298763437,0.0001581811361609687,4.0,136.0,16.103829772241546,4.0,0.0018605781493251346,8.479132938578814e-05,3.0,221.1495676789233,5.090905435202132,3.0,0.001782012405875835,7.8693837666311e-05,3.0,188.22110498934603,17.172490785533,4.0,0.0016042027431431758,0.00016805713681527525,4.0,176.70493996921013,4.5954988713396885,3.0,0.0014991069268171927,0.00016515517571758526,4.0,193.10585096754312,8.401523334636252,3.0
3536,SNU56,11.0,0.0,4,0.0017044385282251875,9.767705907082109e-05,4.0,243.25,16.99754884289693,4.0,0.0016161199468888916,9.987959854990056e-05,4.0,194.25,24.55436145915154,4.0,0.0013898286104285064,8.294313619621848e-05,4.0,247.75,37.02589184161087,4.0,0.001235628765798825,0.00010061235156535646,4.0,269.0,44.519658579104124,4.0,0.0018591295944420856,0.00010662194088539432,4.0,259.3201397921198,23.46066529409626,4.0,0.0017216666533121097,0.00010169060064918418,4.0,198.1531903287756,22.72056278580999,4.0,0.0015807258634965018,9.988417628986942e-05,4.0,181.7202956840102,18.517536464237097,4.0,0.0015106210142502565,0.00012947934516168398,4.0,199.63012008417485,22.45335424295108,4.0
3537,SNU66,5.0,0.0,4,0.0018296459884823563,9.547088214883036e-05,4.0,245.75,27.69326031125022,4.0,0.0017422847781925124,9.434225796738847e-05,4.0,227.25,34.893886761628224,4.0,0.0017366464637271874,3.125199686685996e-05,4.0,286.0,60.293725488920764,4.0,0.0015943167100815625,4.031617174945561e-05,4.0,310.25,68.41722492667083,4.0,0.0018019577215361933,5.837413027084036e-05,4.0,219.14578430706513,12.45104662369558,4.0,0.0017053545024947466,4.338558106149028e-05,4.0,167.63408651544364,13.003578456262261,4.0,0.001620543798776186,1.1834409526953138e-05,3.0,158.24361066108818,14.932292079485537,4.0,0.0015424186189938642,7.704438223839962e-06,3.0,169.94493246205224,16.52617904458413,4.0
3538,SNU71,6.0,0.0,4,0.0018866282969461062,0.00012758750207622814,4.0,265.25,47.09830145557268,4.0,0.0018770304143087189,0.00013260483107077823,4.0,251.5,38.759944960401235,4.0,0.0018480438627275064,8.454798773388973e-05,4.0,338.0,77.73887916180253,4.0,0.0017753884725783618,6.216280441752427e-05,4.0,363.5,89.41476388158725,4.0,0.0017470509363588958,5.458998975712417e-05,4.0,220.48988566671778,8.36028407795133,4.0,0.001649182274336808,4.178617063601253e-05,4.0,178.93810429072843,6.191186832614549,4.0,0.0015626157836191859,1.2464755859916682e-05,3.0,170.95669777949198,1.8202538960608683,3.0,0.0014641634164747714,1.3811371189337383e-05,3.0,189.7763900927419,6.31867207151782,4.0
3539,SNX3,3.0,0.0,4,0.0019180952603697564,4.34344326715194e-05,4.0,247.75,5.123475382979798,4.0,0.0018039446812685,3.618957214913445e-05,4.0,179.75,9.178779875342908,4.0,0.0018375255591357438,5.876184548721475e-05,4.0,141.0,7.483314773547885,4.0,0.0016483460258765437,6.51864106969758e-05,4.0,149.5,6.65832811847939,4.0,0.0017676621560573725,3.256704106629499e-05,4.0,229.47602731356807,4.668645009948911,4.0,0.0016619399299326533,3.3866229560003585e-05,4.0,179.5807309970773,7.526729408729482,4.0,0.0015513031901542417,5.155796972146251e-05,4.0,174.84979741464434,7.624186663341473,4.0,0.0014436956233241226,5.925597476057213e-05,4.0,189.09099244934717,4.96747853083849,4.0
3540,SNX4,1.0,0.0,4,0.0016927641182734312,3.302508666933694e-05,4.0,231.75,9.394147114027971,4.0,0.0017508032256953376,1.9087178878033363e-05,4.0,169.0,5.9441848333756715,4.0,0.0017907015886873374,1.2926213229465344e-05,4.0,143.75,4.924428900898052,4.0,0.0016237323638635187,2.67636100502705e-05,4.0,155.5,8.9628864398325,4.0,0.0018074135530180167,1.2926868340645664e-05,3.0,228.73098906564405,2.1916208546886304,3.0,0.0017093849495484835,2.189161713584231e-06,3.0,173.61917908831714,5.401503008962068,4.0,0.001621433690609026,4.304401554337651e-06,3.0,165.76362585265514,6.535253447762428,4.0,0.0015221713685410153,2.2010025878112185e-05,4.0,181.63346251212113,12.180568356257456,4.0
3541,SNX41,8.0,0.0,4,0.0013949600729786312,3.45378403737495e-05,4.0,195.25,6.3966136874651625,4.0,0.0012555772623062938,3.2601331817163124e-05,4.0,155.0,7.438637868140469,4.0,0.0012312168265330875,4.1132879224552774e-05,4.0,148.0,6.97614984548545,4.0,0.0011477629546106688,4.821642975790057e-05,4.0,160.5,8.544003745317534,4.0,0.001776806975277204,4.824382350084386e-05,4.0,221.78041012192898,3.1723667351530076,3.0,0.0016739639372061077,4.7231708967368925e-05,4.0,170.50457956296665,2.873766625011619,3.0,0.0015761057922254668,5.425411290500507e-05,4.0,169.94589813984805,0.8156258811363644,3.0,0.0014635858486075073,6.0521924052922645e-05,4.0,184.17706893124003,1.6850897166993446,3.0
3542,SNZ1,10.0,0.0,4,0.0016556019229004688,9.76397167398302e-05,4.0,227.75,8.341662504161464,4.0,0.0014959164764637438,7.821923090099443e-05,4.0,154.25,9.464847243000454,4.0,0.001417148985289744,7.917957677970887e-05,4.0,122.0,7.438637868140466,4.0,0.001370619515436631,8.078638306843978e-05,4.0,130.75,7.632168761236873,4.0,0.0017386114316282916,9.924913187673735e-05,4.0,218.73806174087494,3.1861204185995695,3.0,0.0016365984343351193,8.325498332024448e-05,4.0,176.22056350108423,3.6742630645891103,3.0,0.0015026816174295234,8.273127317186575e-05,4.0,171.99662151695978,2.642828422356808,3.0,0.0014034650840216766,8.453825127148662e-05,4.0,189.71618804832792,2.156066533834633,3.0
3543,SNZ3,13.0,0.0,4,0.0015269328340876492,6.658550344570094e-05,4.0,204.5,2.0816659994661326,4.0,0.0013816248446266572,5.7479265930166495e-05,4.0,171.0,7.164728420068224,4.0,0.0014489897581025312,8.52390201400992e-05,4.0,171.0,7.118052168020874,4.0,0.0012674160299153848,8.395282960497372e-05,4.0,183.0,6.48074069840786,4.0,0.0018008035532620158,8.643820012132374e-05,4.0,223.97062268557693,4.3165366930185955,4.0,0.0017488444312111077,3.0497151518704223e-05,3.0,162.93135941221072,6.868426831670653,4.0,0.0016626760944943326,1.6389009083266554e-05,3.0,156.72443133280692,5.909466724699189,4.0,0.0015172613188908744,1.258570546438297e-05,3.0,184.09405585533852,6.544808909501628,4.0
3544,SOD1,11.0,0.0,4,0.0020811400280367313,0.00012607985241062673,4.0,287.25,20.33674834710145,4.0,0.001843470431052,0.00011250338769867903,4.0,248.75,14.499999999999996,4.0,0.001645570982623531,8.87823551896915e-05,4.0,311.5,52.13124462994018,4.0,0.00144923859238425,7.718297673835985e-05,4.0,337.5,57.6223336331785,4.0,0.001927256022442882,7.287048016682487e-05,4.0,252.6127394187364,1.5222451142128355,3.0,0.0018250712420151455,6.272263827099281e-05,4.0,195.76839985631807,7.768951315064711,4.0,0.0017015416883685588,6.450165218627312e-05,4.0,193.98782628093437,6.637561448458023,4.0,0.001594123922691551,8.137825873605944e-05,4.0,208.31112147623276,9.489856474291786,4.0
3545,SOD2,14.0,0.0,4,0.0018536859037482124,0.00015287884789634136,4.0,227.5,14.433756729740644,4.0,0.0019226911765527,0.0001454967836561607,4.0,196.75,25.552234083669997,4.0,0.0016398792577810187,7.963006487885012e-05,4.0,260.75,38.621021909490345,4.0,0.001437848077675875,7.340717314066837e-05,4.0,287.25,46.248423396551225,4.0,0.0018707881841749092,0.00013029807829170772,4.0,221.04985190578262,4.093208283904102,4.0,0.0017589269023321507,0.00010497660029963305,4.0,166.4920095704896,10.27975593138369,4.0,0.001631908871385779,7.223063060685464e-05,4.0,166.6864210641304,1.7347371863716203,3.0,0.001517056276979809,8.301846935219442e-05,4.0,180.736863942673,4.795883966300452,3.0
3546,SOG2,5.0,0.0,4,0.001899054525701525,9.838654911391928e-05,4.0,293.5,22.48703330069724,4.0,0.0017622611516674752,9.547152317161274e-05,4.0,310.25,30.858548248418945,4.0,0.0016743296982643188,7.225350903981823e-05,4.0,448.75,68.68951885113187,4.0,0.0014784323909114436,1.9429919522110872e-05,4.0,490.5,87.42806566924986,4.0,0.0017809086673105034,6.892452810082967e-05,4.0,216.01620368387444,10.769267113873823,4.0,0.001643213488087276,5.459419785977319e-05,4.0,167.4695353723464,8.984227314464553,4.0,0.0015690925661624132,2.833649918415182e-05,4.0,153.7375137936656,9.557866857866681,4.0,0.0014516944416058152,1.609022007674755e-05,4.0,168.56844299589847,8.472690997801992,4.0
3547,SOH1,4.0,0.0,4,0.0020631032158930003,5.129498657060398e-05,4.0,253.5,9.74679434480896,4.0,0.0018050706371659688,6.228057444036227e-05,4.0,190.0,8.981462390204987,4.0,0.001777472184876825,9.444044064351973e-05,4.0,147.75,6.946221994724898,4.0,0.001710554324230925,0.00012439078389215393,4.0,156.75,8.61684396980704,4.0,0.0018695506741727079,5.97314874561051e-05,4.0,229.7905740966429,7.401649932029353,4.0,0.0017189532477426331,3.0097821798547645e-05,3.0,185.27395982782767,2.5587766580619964,3.0,0.0016141256391689382,2.3680035123727203e-05,3.0,178.49801118812707,0.6479279608317763,3.0,0.001499594570176627,2.5864859540991647e-05,3.0,193.41717220381278,2.6464261716037893,3.0
3548,SOK1,11.0,0.0,4,0.00189471488163635,0.00020659338983878683,4.0,124.25,30.532769281544052,4.0,0.0017753952836122083,0.00016434152482026554,4.0,99.5,34.92372641438291,4.0,0.0015893098843975252,8.441866418145566e-05,4.0,155.25,53.462603752529674,4.0,0.0015281744375237561,8.958949904433926e-05,4.0,175.25,63.604900230511596,4.0,0.0019042156139326394,0.00016998290148064615,4.0,143.85958288028334,33.743868332112086,4.0,0.0018969466017676635,0.00013394833471969204,4.0,111.78917860099318,34.405437358154295,4.0,0.0017550084723350846,6.340858142528541e-06,3.0,121.75356620408752,32.27547548011269,4.0,0.0015316703285808368,2.5814553914126176e-05,3.0,134.103327048368,35.42225555939285,4.0
3549,SOL1,6.0,0.0,4,0.0021499055339831248,0.0001213056971672162,4.0,297.25,44.2822387269057,4.0,0.0021030061776430315,0.0001314101375199383,4.0,260.75,42.83592728851176,4.0,0.0020361935052669185,5.8932945769026454e-05,4.0,283.25,70.95244886541971,4.0,0.0020246792842843527,8.770324794470799e-05,4.0,307.5,76.3435218819078,4.0,0.0018917109718307279,3.323156963952649e-05,4.0,236.28637835179296,6.687955662468595,4.0,0.0018085763017824143,9.949435296082726e-06,3.0,190.31995789788246,3.0541124725438658,3.0,0.001662489422688518,6.767831682975855e-05,4.0,180.03019657486425,1.5180109201781982,3.0,0.0015629903398495448,8.325292654957382e-05,4.0,190.8520138998441,0.9114177283110402,3.0
3550,SOL2,8.0,0.0,4,0.0016852883069160063,9.130252857508479e-05,4.0,236.0,20.049937655763422,4.0,0.0014847670940007938,7.402953965369398e-05,4.0,166.75,13.93735986476635,4.0,0.0014378909704016564,6.798027179383097e-05,4.0,124.75,15.019431857874427,4.0,0.0013581271031244437,7.05783906260377e-05,4.0,131.5,12.124355652982139,4.0,0.0018451240009330371,0.00010212729202207863,4.0,218.8617197634019,18.96235774163044,4.0,0.0017204234105929546,8.956777078951161e-05,4.0,168.49605277249577,13.627077366090363,4.0,0.0016014173314941112,8.196998183496591e-05,4.0,162.5893687439846,19.359629467869322,4.0,0.0015005602129224422,8.173653346217769e-05,4.0,179.50512181596233,15.601075802776203,4.0
