,gene,plate_mean,plate_std,plate_count,mean_intensity.48.A_mean,mean_intensity.48.A_std,mean_intensity.48.A_count,mean_intensity.48_mean,mean_intensity.48_std,mean_intensity.48_count,area.48_mean,area.48_std,area.48_count,mean_intensity.24_mean,mean_intensity.24_std,mean_intensity.24_count,area.24_mean,area.24_std,area.24_count,corrected_mean_intensity.48.A_mean,corrected_mean_intensity.48.A_std,corrected_mean_intensity.48.A_count,corrected_mean_intensity.48_mean,corrected_mean_intensity.48_std,corrected_mean_intensity.48_count,corrected_area.48_mean,corrected_area.48_std,corrected_area.48_count,corrected_mean_intensity.24_mean,corrected_mean_intensity.24_std,corrected_mean_intensity.24_count,corrected_area.24_mean,corrected_area.24_std,corrected_area.24_count,mean_intensity.24.A_mean,mean_intensity.24.A_std,mean_intensity.24.A_count
3762,YDR282C,7.0,0.0,8,0.0015327451697954126,7.03262613503962e-05,8.0,0.0013046394206455625,7.005461071131316e-05,8.0,117.875,12.088217403736575,8.0,0.0017083928368136,0.00010286411837391288,8.0,65.125,44.674817131290936,8.0,0.0013229376907701485,3.37367643320079e-05,7.0,0.001267763988838757,3.109560681492471e-05,7.0,154.62182924813123,9.079619567986372,7.0,0.001657592797165132,4.5149548558997215e-05,7.0,28.104929710969373,0.6892186951282506,6.0,0.0017863091343795251,8.913757418707817e-05,4.0
3763,YDR286C,7.0,0.0,8,0.0015162419275213624,7.515008068563459e-05,8.0,0.0012266144943748375,6.133753105512274e-05,8.0,123.0,24.136516496201942,8.0,0.0016645175287652249,9.927019429455488e-05,8.0,56.625,31.50028344543676,8.0,0.001280444881784512,2.4844675256870583e-05,6.0,0.0012188947321452317,6.413661007471663e-05,8.0,148.6585899846874,15.97038376361212,8.0,0.0016511161737360982,3.931405268270123e-05,7.0,26.763213737787723,2.9294490390144774,8.0,0.0018792574300493,0.00014093227199691737,4.0
3764,YDR290W,7.0,0.0,8,0.001410954040240725,4.138526767852492e-05,8.0,0.0013479583969669001,3.270391297354109e-05,8.0,103.0,10.042765697612529,8.0,0.0016226671371213873,0.0001225726776617074,8.0,57.125,36.71682175788096,8.0,0.0013651962394744086,4.625499908543774e-05,8.0,0.0013182364357284101,4.513211785518855e-05,8.0,132.7855356478072,4.09147333493948,7.0,0.0016144190245792301,4.331228384001494e-05,7.0,24.221616123408474,1.48620247481311,8.0,0.0014576911767414,1.8881806422797772e-05,4.0
3765,YDR306C,7.0,0.0,8,0.0018059426893991,8.094745498687872e-05,8.0,0.0014481790266809,6.363972764212119e-05,8.0,212.5,41.23105625617661,8.0,0.001718910582426425,0.00010274183875500589,8.0,90.375,54.6049121285936,8.0,0.0012780110136595667,4.729507487900199e-05,8.0,0.0012400313100664206,4.0593437643661303e-05,7.0,154.06038356348802,11.908953224397173,8.0,0.0015885953429120793,4.002108788913243e-05,7.0,28.891317124937242,1.130218549704813,7.0,0.0020382855917275753,0.00014473099632328378,4.0
3766,YDR333C,7.0,0.0,8,0.0014452478351756127,6.14292816860864e-05,8.0,0.0012825169977232998,5.1645053179293405e-05,8.0,82.5,13.14751470267833,8.0,0.001636384017628625,9.252281196876284e-05,8.0,46.5,37.38601724862232,8.0,0.001228938766361484,4.855179039685968e-05,8.0,0.0011739050233998474,4.377005117174289e-05,7.0,132.21744807017197,21.061354485707852,8.0,0.0015733803455747419,6.18964743452021e-05,7.0,22.96177699839777,4.1794663811066055,8.0,0.001639408034250325,5.3197531972293675e-05,4.0
3767,YDR336W,7.0,0.0,8,0.0016266025701726142,0.00010275865750795065,7.0,0.0013528124931495,7.982033279812679e-05,7.0,102.375,40.28093310027179,8.0,0.0017964712563205,6.617386170575069e-05,7.0,65.14285714285714,52.476752222384384,7.0,0.0013910329263391741,3.509984616032066e-05,6.0,0.001338798790624393,3.1246830616002464e-05,7.0,170.37237549853853,13.588612440859908,7.0,0.0017528137124603164,2.9593379262044943e-05,7.0,31.071373179736213,3.969348553817632,5.0,0.001916395818053,5.619226488358157e-05,3.0
3768,YDR338C,2.0,0.0,8,0.001557485741208675,0.00032158513784917185,8.0,0.00154981565092095,0.00038757373772078534,8.0,121.875,41.09722792180931,8.0,0.0014549265338942626,8.763756420022671e-05,8.0,70.875,52.10000685494882,8.0,0.0013870296491471353,0.0001389701454276286,7.0,0.0013219718518464594,0.00012743933751198174,7.0,183.14066354587598,25.45833973956876,7.0,0.0016604405357838244,0.00016054692106926986,7.0,33.8007632803977,5.294635876791457,7.0,0.0015168796220886751,7.58496255550872e-05,4.0
3769,YDR340W,2.0,0.0,8,0.0014771772014161666,2.9333333762670285e-05,6.0,0.0014488235019750834,8.665280579311662e-05,6.0,127.0,36.518488468171846,6.0,0.001464555467263,0.0001252088150828167,6.0,79.83333333333333,33.724867185308035,6.0,0.0013314694478580669,6.563467830891499e-05,6.0,0.0012718003028156478,6.294683454389897e-05,6.0,162.62628224716465,14.550432419686532,6.0,0.00167664710126928,8.07213041223658e-05,6.0,30.91151997748437,3.6044083746644784,6.0,0.00142971988083985,5.571951648172974e-05,4.0
3770,YDR344C,2.0,0.0,8,0.0012727658784394333,7.362649339334074e-05,6.0,0.0012150769957428832,0.00012147669665962925,6.0,116.83333333333333,17.38294183004323,6.0,0.00120613888274395,0.0002828986897393476,6.0,77.66666666666667,43.5369574805896,6.0,0.0011909860317222494,6.939348560461273e-05,6.0,0.001139688341814679,6.434394768020721e-05,6.0,147.6089274643294,17.84978083701539,6.0,0.0014135848915966382,0.0003824011909099114,5.0,26.022412560308695,4.622627774969574,6.0,0.001358846935512475,6.854224352965312e-05,4.0
3771,YDR360W,2.0,0.0,8,0.0015090769467069715,0.00011231144529841354,7.0,0.0013898450562684858,0.00012844483058805135,7.0,135.85714285714286,41.61501560506164,7.0,0.0013570100650289571,0.0001380052559657802,7.0,63.0,29.473151624260797,7.0,0.0012808150789387878,9.685303449449084e-05,7.0,0.0012264813526405428,9.207543122204833e-05,7.0,144.93078142946212,23.404454095258313,6.0,0.0015642812341500644,0.00015266312665706636,6.0,25.15079105286469,2.8541885298382392,7.0,0.001530980994318075,2.875905172357108e-05,4.0
